scheme_id,name,ministry,category,allocated_crore
SCH_AMRUT,AMRUT - Atal Mission for Rejuvenation and Urban Transformation,MoHUA,infrastructure,
SCH_SFC,Local Development Grants - Roads & Drains (Delhi),GNCTD/MCD,roads_drains,
SCH_SWACHH,Swachh Bharat Mission - Urban,MoHUA,sanitation,
SCH_PMAY,PMAY-Urban (Pradhan Mantri Awas Yojana),MoHUA,housing,
SCH_LOCAL_LIGHTS,Urban Streetlight Improvement (Delhi),GNCTD/MCD,streetlights,
SCH_JJBY,Jal Jeevan Mission - Har Ghar Jal (Urban),MoJS,water_supply,
SCH_AYUSHMAN,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,MoHFW,healthcare,
SCH_DDUGJY,DDUGJY - Deen Dayal Upadhyaya Gram Jyoti Yojana,MoP,power,
