Sl No,Ward,Population
200,DMC Ward No - 180,56234
201,DMC Ward No - 181,61066
202,DMC Ward No - 182,45365
203,DMC Ward No - 183,49123
204,DMC Ward No - 184,43613
205,DMC Ward No - 185,44896
206,DMC Ward No - 185,10616
207,DMC Ward No - 186,52705
208,DMC Ward No - 187,53377
209,DMC Ward No - 188,2556
210,DMC Ward No - 188,52908
211,DMC Ward No - 189,34169
212,DMC Ward No - 190,30446
213,DMC Ward No - 190,19700
214,DMC Ward No - 191,61669
215,DMC Ward No - 192,13289
216,DMC Ward No - 192,134
217,DMC Ward No - 192,26280
218,DMC Ward No - 193,47010
219,DMC Ward No - 193,1404
220,DMC Ward No - 194,21704
221,DMC Ward No - 194,16189
222,DMC Ward No - 195,53579
223,DMC Ward No - 196,49746
224,DMC Ward No - 197,43643
225,DMC Ward No - 199,42508
226,DMC Ward No - 200,43609
227,DMC Ward No - 203,47129
228,DMC Ward No - 205,74750
229,DMC Ward No - 206,86392
230,DMC Ward No - 207,77258
231,DMC Ward No - 208,19918
232,DMC Ward No - 208,16197
233,DMC Ward No - 209,38587
234,DMC Ward No - 213,48771
235,DMC Ward No - 214,7167
236,DMC Ward No - 217,58964
237,DMC Ward No - 218,49753
238,DMC Ward No - 219,66322
239,DMC Ward No - 220,9143
240,DMC Ward No - 221,61165
241,DMC Ward No - 222,42499
242,DMC Ward No - 223,80196
243,DMC Ward No - 224,52854
244,DMC Ward No - 225,54339
245,DMC Ward No - 226,52133
246,DMC Ward No - 227,61930
247,DMC Ward No - 228,8856
248,DMC Ward No - 228,44422
249,DMC Ward No - 229,59503
250,DMC Ward No - 230,65237
251,DMC Ward No - 231,47538
252,DMC Ward No - 231,22421
253,DMC Ward No - 232,59500
254,DMC Ward No - 233,19427
255,DMC Ward No - 233,23981
256,DMC Ward No - 234,41179
257,DMC Ward No - 235,62376
258,DMC Ward No - 236,39404
259,DMC Ward No - 236,8411
260,DMC Ward No - 236,2478
261,DMC Ward No - 237,54093
262,DMC Ward No - 238,58291
263,DMC Ward No - 239,20194
264,DMC Ward No - 239,28226
265,DMC Ward No - 240,55045
266,DMC Ward No - 241,50557
267,DMC Ward No - 242,61730
268,DMC Ward No - 243,10713
269,DMC Ward No - 244,68639
270,DMC Ward No - 245,39582
271,DMC Ward No - 245,5212
272,DMC Ward No - 246,50424
273,DMC Ward No - 247,59448
274,DMC Ward No - 248,59802
275,DMC Ward No - 249,29435
276,DMC Ward No - 250,39820
277,DMC Ward No - 251,58009
278,DMC Ward No - 252,65412
279,DMC Ward No - 253,54676
280,DMC Ward No - 254,64804
281,DMC Ward No - 255,59681
282,DMC Ward No - 256,39740
283,DMC Ward No - 257,56775
284,DMC Ward No - 258,30094
285,DMC Ward No - 258,5682
286,DMC Ward No - 259,45600
287,DMC Ward No - 260,18680
288,DMC Ward No - 263,53707
289,DMC Ward No - 264,35244
